ticket_id,customer_id,created_at,resolved_at,category,satisfaction_score
TICK_000098,CUST_00056,2024-08-12 00:00:00,2024-08-22 00:00:00,technical,5.0
TICK_000099,CUST_00057,2024-01-09 00:00:00,2024-01-15 00:00:00,account,2.0
TICK_000100,CUST_00057,2023-01-05 00:00:00,2023-01-13 00:00:00,technical,5.0
TICK_000101,CUST_00057,2023-07-31 00:00:00,2023-08-02 00:00:00,account,5.0
TICK_000102,CUST_00058,2022-09-07 00:00:00,,account,
TICK_000103,CUST_00058,2022-01-25 00:00:00,2022-03-08 00:00:00,technical,5.0
TICK_000104,CUST_00059,2022-08-23 00:00:00,2022-08-29 00:00:00,billing,2.0
TICK_000105,CUST_00059,2021-09-24 00:00:00,2021-09-25 00:00:00,technical,3.0
TICK_000106,CUST_00060,2024-03-16 00:00:00,2024-03-25 00:00:00,technical,5.0
TICK_000107,CUST_00060,2023-07-16 00:00:00,2023-07-18 00:00:00,account,3.0
TICK_000108,CUST_00060,2024-11-02 00:00:00,2024-11-07 00:00:00,feature_request,5.0
TICK_000109,CUST_00060,2022-12-09 00:00:00,2022-12-13 00:00:00,technical,5.0
TICK_000110,CUST_00060,2021-01-03 00:00:00,,general,
TICK_000111,CUST_00062,2024-05-05 00:00:00,2024-05-21 00:00:00,feature_request,3.0
TICK_000112,CUST_00062,2022-06-27 00:00:00,,feature_request,
TICK_000113,CUST_00064,2023-09-26 00:00:00,2023-10-05 00:00:00,billing,2.0
TICK_000114,CUST_00064,2024-08-23 00:00:00,,feature_request,
TICK_000115,CUST_00064,2022-07-11 00:00:00,2022-07-14 00:00:00,account,1.0
TICK_000116,CUST_00064,2021-11-21 00:00:00,2021-12-03 00:00:00,billing,3.0
TICK_000117,CUST_00064,2021-10-02 00:00:00,,technical,
TICK_000118,CUST_00065,2022-06-23 00:00:00,,general,
TICK_000119,CUST_00065,2020-08-29 00:00:00,,feature_request,
TICK_000120,CUST_00065,2020-11-13 00:00:00,2020-11-18 00:00:00,account,5.0
TICK_000121,CUST_00065,2023-01-16 00:00:00,,billing,
TICK_000122,CUST_00066,2022-10-31 00:00:00,2022-11-11 00:00:00,feature_request,3.0
TICK_000123,CUST_00066,2023-07-19 00:00:00,,technical,
TICK_000124,CUST_00066,2021-07-26 00:00:00,2021-07-27 00:00:00,billing,5.0
TICK_000125,CUST_00067,2024-01-02 00:00:00,2024-01-07 00:00:00,billing,1.0
TICK_000126,CUST_00067,2021-10-27 00:00:00,2021-10-29 00:00:00,billing,5.0
TICK_000127,CUST_00068,2024-06-04 00:00:00,2024-06-06 00:00:00,billing,4.0
TICK_000128,CUST_00068,2023-09-16 00:00:00,2023-09-24 00:00:00,billing,4.0
TICK_000129,CUST_00068,2024-05-03 00:00:00,,account,
TICK_000130,CUST_00068,2023-01-11 00:00:00,2023-01-25 00:00:00,billing,5.0
TICK_000131,CUST_00068,2023-11-23 00:00:00,2023-11-29 00:00:00,billing,4.0
TICK_000132,CUST_00070,2024-12-31 00:00:00,2025-01-22 00:00:00,technical,3.0
TICK_000133,CUST_00071,2022-11-29 00:00:00,2022-11-30 00:00:00,technical,1.0
TICK_000134,CUST_00071,2024-03-19 00:00:00,2024-03-20 00:00:00,account,5.0
TICK_000135,CUST_00071,2024-02-01 00:00:00,,billing,
TICK_000136,CUST_00072,2021-04-27 00:00:00,2021-04-29 00:00:00,technical,3.0
TICK_000137,CUST_00072,2023-03-08 00:00:00,2023-03-15 00:00:00,feature_request,2.0
TICK_000138,CUST_00072,2024-08-25 00:00:00,2024-08-26 00:00:00,technical,5.0
TICK_000139,CUST_00073,2023-04-30 00:00:00,2023-05-01 00:00:00,technical,1.0
TICK_000140,CUST_00073,2020-06-27 00:00:00,2020-06-28 00:00:00,feature_request,5.0
TICK_000141,CUST_00074,2024-07-18 00:00:00,2024-08-02 00:00:00,technical,5.0
TICK_000142,CUST_00074,2024-05-01 00:00:00,2024-05-02 00:00:00,feature_request,5.0
TICK_000143,CUST_00075,2022-02-08 00:00:00,2022-02-20 00:00:00,billing,5.0
TICK_000144,CUST_00077,2023-05-10 00:00:00,2023-05-17 00:00:00,billing,2.0
TICK_000145,CUST_00077,2023-03-05 00:00:00,2023-03-09 00:00:00,account,4.0
TICK_000146,CUST_00077,2022-09-11 00:00:00,2022-09-28 00:00:00,technical,2.0
TICK_000147,CUST_00078,2024-03-20 00:00:00,,account,
TICK_000148,CUST_00078,2024-08-17 00:00:00,,billing,
TICK_000149,CUST_00079,2022-03-20 00:00:00,2022-03-31 00:00:00,billing,5.0
TICK_000150,CUST_00080,2022-05-22 00:00:00,,account,
TICK_000151,CUST_00080,2023-10-24 00:00:00,,account,
TICK_000152,CUST_00080,2024-04-23 00:00:00,2024-05-29 00:00:00,billing,3.0
TICK_000153,CUST_00080,2024-09-04 00:00:00,2024-09-23 00:00:00,billing,5.0
TICK_000154,CUST_00081,2023-12-21 00:00:00,,general,
TICK_000155,CUST_00082,2023-01-29 00:00:00,2023-02-17 00:00:00,technical,4.0
TICK_000156,CUST_00082,2024-04-03 00:00:00,2024-04-06 00:00:00,general,2.0
TICK_000157,CUST_00082,2024-02-12 00:00:00,2024-02-13 00:00:00,account,2.0
TICK_000158,CUST_00083,2021-03-22 00:00:00,2021-04-05 00:00:00,feature_request,5.0
TICK_000159,CUST_00083,2023-07-02 00:00:00,2023-07-08 00:00:00,billing,2.0
TICK_000160,CUST_00083,2021-05-15 00:00:00,2021-05-18 00:00:00,feature_request,4.0
TICK_000161,CUST_00083,2023-03-01 00:00:00,2023-03-04 00:00:00,general,1.0
TICK_000162,CUST_00084,2021-01-01 00:00:00,,account,
TICK_000163,CUST_00084,2023-11-15 00:00:00,2023-11-17 00:00:00,general,5.0
TICK_000164,CUST_00084,2023-03-17 00:00:00,2023-04-02 00:00:00,account,2.0
TICK_000165,CUST_00085,2022-05-05 00:00:00,2022-05-06 00:00:00,technical,5.0
TICK_000166,CUST_00086,2023-11-14 00:00:00,2023-11-20 00:00:00,technical,5.0
TICK_000167,CUST_00086,2022-12-18 00:00:00,,billing,
TICK_000168,CUST_00087,2023-11-06 00:00:00,2023-11-07 00:00:00,general,4.0
TICK_000169,CUST_00087,2024-08-15 00:00:00,2024-08-21 00:00:00,feature_request,4.0
TICK_000170,CUST_00087,2022-12-31 00:00:00,2023-01-03 00:00:00,billing,5.0
TICK_000171,CUST_00087,2023-05-28 00:00:00,2023-06-06 00:00:00,technical,1.0
TICK_000172,CUST_00088,2023-03-07 00:00:00,2023-03-19 00:00:00,account,3.0
TICK_000173,CUST_00088,2024-10-05 00:00:00,2024-10-06 00:00:00,feature_request,3.0
TICK_000174,CUST_00090,2022-08-25 00:00:00,2022-08-29 00:00:00,general,3.0
TICK_000175,CUST_00091,2021-03-05 00:00:00,2021-03-13 00:00:00,feature_request,5.0
TICK_000176,CUST_00092,2024-07-28 00:00:00,2024-08-05 00:00:00,technical,5.0
TICK_000177,CUST_00093,2024-10-25 00:00:00,2024-10-29 00:00:00,technical,4.0
TICK_000178,CUST_00093,2024-02-18 00:00:00,2024-02-23 00:00:00,technical,5.0
TICK_000179,CUST_00094,2022-11-18 00:00:00,,billing,
TICK_000180,CUST_00094,2022-10-26 00:00:00,2022-10-30 00:00:00,feature_request,5.0
TICK_000181,CUST_00095,2022-09-18 00:00:00,2022-09-20 00:00:00,billing,4.0
TICK_000182,CUST_00095,2023-12-22 00:00:00,2023-12-25 00:00:00,feature_request,4.0
TICK_000183,CUST_00097,2021-07-07 00:00:00,2021-07-10 00:00:00,technical,3.0
TICK_000184,CUST_00097,2023-03-17 00:00:00,2023-04-15 00:00:00,account,1.0
TICK_000185,CUST_00098,2021-01-09 00:00:00,,account,
TICK_000186,CUST_00098,2022-01-13 00:00:00,2022-01-21 00:00:00,account,5.0
TICK_000187,CUST_00098,2024-07-22 00:00:00,2024-07-26 00:00:00,account,3.0
TICK_000188,CUST_00100,2020-12-02 00:00:00,2020-12-03 00:00:00,billing,5.0
TICK_000189,CUST_00101,2024-06-09 00:00:00,2024-06-11 00:00:00,technical,5.0
TICK_000190,CUST_00101,2020-08-30 00:00:00,2020-09-10 00:00:00,account,2.0
TICK_000191,CUST_00101,2020-06-07 00:00:00,2020-06-09 00:00:00,billing,5.0
TICK_000192,CUST_00101,2021-02-17 00:00:00,,billing,
TICK_000193,CUST_00101,2023-11-12 00:00:00,2023-11-25 00:00:00,billing,4.0
TICK_000194,CUST_00102,2022-10-20 00:00:00,2022-10-23 00:00:00,technical,3.0
TICK_000195,CUST_00102,2024-11-17 00:00:00,,billing,
TICK_000196,CUST_00102,2024-09-09 00:00:00,2024-09-14 00:00:00,general,1.0
TICK_000197,CUST_00103,2023-08-28 00:00:00,2023-09-14 00:00:00,technical,2.0
TICK_000198,CUST_00103,2021-12-08 00:00:00,2021-12-22 00:00:00,feature_request,3.0
TICK_000199,CUST_00103,2024-05-12 00:00:00,2024-05-18 00:00:00,technical,5.0
TICK_000200,CUST_00103,2021-04-13 00:00:00,2021-04-21 00:00:00,billing,2.0
TICK_000201,CUST_00103,2020-10-08 00:00:00,2020-10-15 00:00:00,account,2.0
TICK_000202,CUST_00104,2024-01-01 00:00:00,2024-01-08 00:00:00,technical,4.0
TICK_000203,CUST_00104,2023-09-18 00:00:00,2023-09-23 00:00:00,account,3.0
TICK_000204,CUST_00105,2024-06-11 00:00:00,2024-06-23 00:00:00,feature_request,2.0
TICK_000205,CUST_00107,2023-05-02 00:00:00,2023-05-04 00:00:00,feature_request,3.0
TICK_000206,CUST_00107,2024-11-02 00:00:00,,technical,
TICK_000207,CUST_00107,2022-11-26 00:00:00,2022-12-02 00:00:00,general,5.0
TICK_000208,CUST_00108,2024-09-14 00:00:00,2024-09-18 00:00:00,technical,5.0
TICK_000209,CUST_00109,2021-02-02 00:00:00,2021-02-12 00:00:00,account,3.0
TICK_000210,CUST_00109,2023-06-16 00:00:00,2023-06-24 00:00:00,feature_request,5.0
TICK_000211,CUST_00109,2023-03-29 00:00:00,2023-04-04 00:00:00,account,4.0
TICK_000212,CUST_00110,2024-08-21 00:00:00,2024-08-27 00:00:00,feature_request,5.0
TICK_000213,CUST_00112,2023-12-30 00:00:00,,technical,
TICK_000214,CUST_00112,2024-02-29 00:00:00,,general,
TICK_000215,CUST_00113,2024-08-02 00:00:00,2024-08-25 00:00:00,account,5.0
TICK_000216,CUST_00113,2024-07-29 00:00:00,2024-08-08 00:00:00,general,3.0
TICK_000217,CUST_00114,2023-06-16 00:00:00,2023-06-19 00:00:00,account,5.0
TICK_000218,CUST_00114,2023-08-31 00:00:00,2023-09-08 00:00:00,feature_request,2.0
TICK_000219,CUST_00114,2024-03-14 00:00:00,,billing,
TICK_000220,CUST_00114,2024-08-10 00:00:00,,account,
TICK_000221,CUST_00115,2022-06-24 00:00:00,,general,
TICK_000222,CUST_00115,2022-12-01 00:00:00,2022-12-07 00:00:00,technical,4.0
TICK_000223,CUST_00115,2022-12-30 00:00:00,2023-02-05 00:00:00,technical,5.0
TICK_000224,CUST_00116,2024-09-28 00:00:00,2024-10-05 00:00:00,account,2.0
TICK_000225,CUST_00116,2024-01-15 00:00:00,2024-01-18 00:00:00,feature_request,4.0
TICK_000226,CUST_00116,2024-10-26 00:00:00,2024-11-01 00:00:00,billing,3.0
TICK_000227,CUST_00116,2023-06-07 00:00:00,2023-06-09 00:00:00,account,5.0
TICK_000228,CUST_00119,2024-01-08 00:00:00,2024-01-11 00:00:00,account,5.0
TICK_000229,CUST_00119,2024-05-11 00:00:00,,account,
TICK_000230,CUST_00120,2023-10-06 00:00:00,2023-10-21 00:00:00,feature_request,4.0
TICK_000231,CUST_00120,2024-09-26 00:00:00,2024-10-02 00:00:00,account,3.0
TICK_000232,CUST_00120,2024-10-21 00:00:00,2024-10-26 00:00:00,account,1.0
TICK_000233,CUST_00121,2022-11-04 00:00:00,2022-11-06 00:00:00,technical,4.0
TICK_000234,CUST_00123,2023-08-14 00:00:00,2023-08-25 00:00:00,feature_request,4.0
TICK_000235,CUST_00123,2021-04-09 00:00:00,2021-04-22 00:00:00,account,5.0
TICK_000236,CUST_00124,2022-05-11 00:00:00,2022-05-12 00:00:00,account,3.0
TICK_000237,CUST_00124,2024-11-25 00:00:00,2024-11-28 00:00:00,technical,3.0
TICK_000238,CUST_00124,2022-08-17 00:00:00,2022-08-23 00:00:00,general,3.0
TICK_000239,CUST_00125,2024-02-13 00:00:00,2024-02-18 00:00:00,account,4.0
TICK_000240,CUST_00125,2020-09-02 00:00:00,2020-09-07 00:00:00,billing,4.0
TICK_000241,CUST_00125,2021-08-09 00:00:00,,billing,
TICK_000242,CUST_00126,2024-02-12 00:00:00,2024-02-15 00:00:00,billing,4.0
TICK_000243,CUST_00126,2024-01-08 00:00:00,2024-01-14 00:00:00,technical,5.0
TICK_000244,CUST_00126,2021-02-25 00:00:00,2021-03-02 00:00:00,billing,4.0
TICK_000245,CUST_00126,2023-11-22 00:00:00,2023-11-23 00:00:00,account,3.0
TICK_000246,CUST_00126,2024-01-03 00:00:00,2024-01-19 00:00:00,billing,5.0
TICK_000247,CUST_00127,2023-03-26 00:00:00,,account,
TICK_000248,CUST_00129,2020-04-19 00:00:00,2020-04-23 00:00:00,general,1.0
TICK_000249,CUST_00129,2020-11-28 00:00:00,2020-12-03 00:00:00,billing,3.0
TICK_000250,CUST_00129,2020-03-09 00:00:00,2020-03-19 00:00:00,account,4.0
TICK_000251,CUST_00129,2020-07-06 00:00:00,2020-07-09 00:00:00,billing,5.0
TICK_000252,CUST_00131,2024-07-13 00:00:00,,feature_request,
TICK_000253,CUST_00132,2023-01-20 00:00:00,2023-01-27 00:00:00,billing,4.0
TICK_000254,CUST_00132,2021-04-18 00:00:00,2021-04-19 00:00:00,technical,3.0
TICK_000255,CUST_00132,2021-09-29 00:00:00,2021-09-30 00:00:00,feature_request,4.0
TICK_000256,CUST_00132,2023-10-23 00:00:00,2023-10-28 00:00:00,general,5.0
TICK_000257,CUST_00132,2023-01-03 00:00:00,,feature_request,
TICK_000258,CUST_00133,2022-12-24 00:00:00,2022-12-27 00:00:00,feature_request,4.0
TICK_000259,CUST_00133,2021-08-31 00:00:00,2021-09-01 00:00:00,technical,4.0
TICK_000260,CUST_00133,2020-10-02 00:00:00,2020-10-13 00:00:00,billing,2.0
TICK_000261,CUST_00133,2020-04-01 00:00:00,2020-04-02 00:00:00,feature_request,4.0
TICK_000262,CUST_00133,2020-09-23 00:00:00,,feature_request,
TICK_000263,CUST_00134,2024-12-03 00:00:00,2024-12-12 00:00:00,feature_request,1.0
TICK_000264,CUST_00135,2024-12-03 00:00:00,2024-12-04 00:00:00,general,3.0
TICK_000265,CUST_00135,2024-11-20 00:00:00,2024-12-03 00:00:00,technical,4.0
TICK_000266,CUST_00135,2024-11-17 00:00:00,2024-11-22 00:00:00,account,4.0
TICK_000267,CUST_00135,2024-10-24 00:00:00,,technical,
TICK_000268,CUST_00136,2022-06-21 00:00:00,2022-06-24 00:00:00,billing,5.0
TICK_000269,CUST_00136,2022-08-10 00:00:00,2022-08-17 00:00:00,technical,5.0
TICK_000270,CUST_00137,2022-10-01 00:00:00,2022-10-07 00:00:00,billing,3.0
TICK_000271,CUST_00137,2023-08-29 00:00:00,2023-09-03 00:00:00,account,4.0
TICK_000272,CUST_00137,2024-08-05 00:00:00,,general,
TICK_000273,CUST_00137,2024-12-01 00:00:00,2024-12-03 00:00:00,account,4.0
TICK_000274,CUST_00137,2024-02-01 00:00:00,2024-02-02 00:00:00,feature_request,5.0
TICK_000275,CUST_00138,2022-07-22 00:00:00,2022-07-23 00:00:00,billing,2.0
TICK_000276,CUST_00138,2023-03-11 00:00:00,,technical,
TICK_000277,CUST_00138,2024-06-01 00:00:00,2024-06-03 00:00:00,billing,4.0
TICK_000278,CUST_00139,2021-05-25 00:00:00,,billing,
TICK_000279,CUST_00139,2022-10-28 00:00:00,2022-11-10 00:00:00,billing,5.0
TICK_000280,CUST_00140,2024-12-31 00:00:00,2025-01-04 00:00:00,technical,4.0
TICK_000281,CUST_00140,2024-12-31 00:00:00,,account,
TICK_000282,CUST_00140,2024-12-31 00:00:00,2025-01-06 00:00:00,billing,4.0
TICK_000283,CUST_00140,2024-12-31 00:00:00,,technical,
TICK_000284,CUST_00141,2024-12-31 00:00:00,2025-01-14 00:00:00,technical,4.0
TICK_000285,CUST_00141,2024-12-31 00:00:00,2025-01-03 00:00:00,account,2.0
TICK_000286,CUST_00143,2021-12-28 00:00:00,,general,
TICK_000287,CUST_00143,2022-09-03 00:00:00,2022-09-07 00:00:00,account,2.0
TICK_000288,CUST_00144,2024-11-02 00:00:00,2024-11-04 00:00:00,technical,4.0
TICK_000289,CUST_00145,2023-09-20 00:00:00,2023-09-27 00:00:00,billing,4.0
TICK_000290,CUST_00147,2023-04-21 00:00:00,2023-05-24 00:00:00,feature_request,5.0
TICK_000291,CUST_00148,2023-06-25 00:00:00,2023-06-30 00:00:00,technical,5.0
TICK_000292,CUST_00149,2024-05-27 00:00:00,,account,
TICK_000293,CUST_00151,2024-06-06 00:00:00,2024-06-10 00:00:00,technical,3.0
TICK_000294,CUST_00151,2024-09-14 00:00:00,2024-09-18 00:00:00,general,4.0
TICK_000295,CUST_00152,2023-04-10 00:00:00,2023-04-29 00:00:00,billing,4.0
TICK_000296,CUST_00152,2022-01-05 00:00:00,2022-01-07 00:00:00,billing,4.0
TICK_000297,CUST_00154,2021-10-07 00:00:00,2021-10-27 00:00:00,technical,3.0
TICK_000298,CUST_00154,2022-03-07 00:00:00,2022-03-12 00:00:00,technical,2.0
TICK_000299,CUST_00154,2022-09-28 00:00:00,,billing,
TICK_000300,CUST_00154,2022-12-18 00:00:00,2022-12-21 00:00:00,general,3.0
TICK_000301,CUST_00155,2024-12-31 00:00:00,2025-01-03 00:00:00,account,3.0
TICK_000302,CUST_00156,2020-09-13 00:00:00,2020-09-14 00:00:00,billing,5.0
TICK_000303,CUST_00156,2022-08-02 00:00:00,2022-08-07 00:00:00,billing,5.0
TICK_000304,CUST_00156,2024-04-03 00:00:00,,account,
TICK_000305,CUST_00156,2022-07-30 00:00:00,,account,
TICK_000306,CUST_00157,2022-12-16 00:00:00,,technical,
TICK_000307,CUST_00157,2023-06-06 00:00:00,2023-06-21 00:00:00,general,3.0
TICK_000308,CUST_00158,2023-11-16 00:00:00,2023-11-17 00:00:00,feature_request,5.0
TICK_000309,CUST_00158,2023-10-27 00:00:00,2023-11-02 00:00:00,billing,4.0
TICK_000310,CUST_00158,2024-05-22 00:00:00,2024-05-23 00:00:00,billing,4.0
TICK_000311,CUST_00158,2024-03-20 00:00:00,2024-03-29 00:00:00,technical,4.0
TICK_000312,CUST_00160,2023-12-19 00:00:00,2023-12-23 00:00:00,technical,5.0
TICK_000313,CUST_00160,2022-06-02 00:00:00,2022-06-04 00:00:00,billing,3.0
TICK_000314,CUST_00161,2022-08-28 00:00:00,2022-09-03 00:00:00,technical,1.0
TICK_000315,CUST_00161,2024-11-23 00:00:00,2024-12-06 00:00:00,feature_request,5.0
TICK_000316,CUST_00162,2024-01-16 00:00:00,2024-02-08 00:00:00,feature_request,1.0
TICK_000317,CUST_00162,2024-08-04 00:00:00,2024-08-08 00:00:00,feature_request,5.0
TICK_000318,CUST_00162,2022-04-02 00:00:00,2022-04-03 00:00:00,account,3.0
